Designator,Mid X,Mid Y,Rotation,Layer
D1,92.71,-50.8,90.0,bottom
D10,111.76,-88.9,90.0,bottom
D11,130.81,-88.9,90.0,bottom
D12,92.71,-107.95,90.0,bottom
D13,111.76,-107.95,90.0,bottom
D14,130.81,-107.95,90.0,bottom
D15,149.86,-117.475,90.0,bottom
D16,102.235,-127.0,90.0,bottom
D17,130.81,-127.0,90.0,bottom
D2,111.76,-50.8,90.0,bottom
D3,130.81,-50.8,90.0,bottom
D4,149.86,-50.8,90.0,bottom
D5,92.71,-69.85,90.0,bottom
D6,111.76,-69.85,90.0,bottom
D7,130.81,-69.85,90.0,bottom
D8,149.86,-79.375,90.0,bottom
D9,92.71,-88.9,90.0,bottom
S1,83.185,-47.9425,0.0,top
S10,102.235,-86.0425,0.0,top
S11,121.285,-86.0425,0.0,top
S12,83.185,-105.0925,0.0,top
S13,102.235,-105.0925,0.0,top
S14,121.285,-105.0925,0.0,top
S15,140.335,-114.6175,0.0,top
S16,92.71,-124.1425,0.0,top
S17,121.285,-124.1425,0.0,top
S2,102.235,-47.9425,0.0,top
S3,121.285,-47.9425,0.0,top
S4,140.335,-47.9425,0.0,top
S5,83.185,-66.9925,0.0,top
S6,102.235,-66.9925,0.0,top
S7,121.285,-66.9925,0.0,top
S8,140.335,-76.5175,0.0,top
S9,83.185,-86.0425,0.0,top
U1,111.76,-28.8925,90.0,top
